	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
PPAN	3.210199745	1.899297892	2.356579907	1.391008083	1.358405344	1.613188765	2.711672826	2.419014918	1.371850007	2.993395246	2.710215915	1.763842735	1.311845718	2.343503107	2.460108477	1.656356195	1.023219157	2.387674106	1.999934953
PPARA	4.190246082	5.428252246	4.018651288	5.172681406	3.386517301	4.341260043	3.917644018	3.959449277	4.092690384	2.507875535	3.121060498	4.688203025	5.474384257	4.376833881	4.313457539	5.133166276	4.032438067	3.815303681	3.234226716
PPARD	7.234473339	6.588168469	6.192649144	6.351098406	6.32454275	5.726384298	10.18608474	4.821193905	4.993357497	6.346524614	5.966365237	7.015362295	5.607153165	7.012769144	6.781874381	7.312457192	6.425110506	6.302592272	5.979646047
PPARG	0.157976708	3.655791838	2.561771526	3.120567194	1.153581068	4.259953523	2.03727296	2.393288318	1.320356489	0.967735911	2.885813633	0.775959683	3.730932718	3.270084153	3.276649777	4.133724342	0	4.224073947	4.302393398
PPARGC1B	4.216426851	4.302135242	4.92874386	3.160386236	3.434559918	3.512060989	1.703966998	5.529258328	4.662172798	4.424973285	5.364412032	4.004073996	2.792929862	1.821311236	3.146221657	3.301567763	1.945430102	4.779105391	5.613572975
PPAT	4.202388577	4.854798486	5.62142189	4.551699746	5.835368634	5.072484624	2.193802194	6.322310628	6.18903566	6.439484139	7.215428291	3.773027545	4.801939807	4.1620643	4.610015042	4.982535285	6.52592006	5.263704719	6.224260711
PPCDC	3.7724193	3.545110142	3.915515435	2.692917421	3.040872436	3.06839931	4.937140446	3.041069173	2.64689059	2.925877303	3.494035272	4.218312056	3.562946972	3.84291199	3.57590128	2.568545493	3.565684245	4.794905993	4.518991618
PPCS	4.003941304	4.417223065	3.976814293	4.529698451	4.610625208	4.785072336	5.108232122	4.117069653	3.646681582	3.964362626	3.91320826	5.258463755	5.447830853	4.170460884	4.280152273	3.256251343	4.386225791	4.152291893	5.156179398
PPDPF	7.358229567	6.977976926	5.704648572	6.219454503	5.282987157	5.863203608	7.593311933	3.270357464	5.638662974	4.362505389	5.827852148	6.998899978	7.181486848	6.933895344	7.670697033	6.723889219	7.200811495	7.027778016	6.378983188
PPFIA1	6.363958428	6.446930393	5.85397123	6.800116708	6.587498613	6.552161896	4.831461528	6.373372695	5.736442233	5.851860653	5.907741975	7.509816798	5.999704385	5.811153604	5.752589455	5.948684996	5.789898326	7.469267664	7.149298104
PPFIA3	1.083138005	6.704839379	3.978277328	4.272430117	3.422698416	2.627462825	6.011339195	4.557271106	4.960096959	2.722045182	5.314105664	2.097957689	4.645158797	3.866359141	3.844800211	5.121321162	4.134906663	2.96407414	2.821927233
PPFIA4	2.818867298	4.678639663	2.550013487	5.897163414	3.406729836	4.536221103	1.212345736	1.245242073	1.320356489	1.607898983	1.470439276	0.175702551	3.353302586	4.546097791	1.629577512	4.384730703	1.495222794	1.192230362	1.411759466
PPFIBP1	6.285515085	7.807225799	7.008809107	5.616175258	7.23443296	6.839324911	5.906628322	6.397028525	6.946299056	5.804478076	5.288752725	5.876315507	5.7764558	5.943811203	6.506952698	5.562919028	6.626976902	5.399083099	6.475647675
PPFIBP2	5.34668779	4.643969335	6.330192833	4.597140666	7.031203122	2.684592545	1.324985569	7.218933527	7.596968004	4.511002012	5.604042132	3.538559716	3.205351615	2.582477296	1.962367441	2.895040078	7.63401409	1.835970409	2.597714139
PPHLN1	5.897395682	5.079524697	6.326751423	6.547198262	6.64520739	5.993543431	3.805627335	8.218668303	5.963205952	6.335996735	6.448665044	5.627558768	5.875984656	5.220568228	5.389125195	5.044216897	5.951632304	5.599065705	6.011940483
PPIA	10.11705704	9.992215435	10.05451317	10.14099034	8.932914395	10.1864089	10.9346023	9.51819984	10.40348999	10.75863061	10.84162445	11.16808681	11.29836597	11.78454677	11.43273141	10.54931715	9.745340556	11.77919597	11.46873732
PPIAP11	2.606853802	2.129501814	2.758510433	1.206790952	0.708813522	1.298782422	1.745038166	1.0614405	1.124112146	1.671118808	2.374014073	2.182710685	2.205959175	2.882494807	2.295493119	1.958852532	2.323913445	2.600421465	2.387331779
PPIAP22	6.514389251	6.914089162	6.994420882	2.719817172	1.761408182	2.726002535	7.074504117	4.622388425	6.553391012	7.211288822	5.550529889	3.996289584	4.060308294	4.468209911	4.308383431	3.417497679	4.323842744	4.415092216	4.16984309
PPIAP29	2.449349906	2.258582533	2.452331257	0.658150158	0.389404091	0.619797028	4.021586428	1.093746628	3.339106703	4.336740673	2.046646088	1.492212312	0.874959484	1.374934056	0.983534989	0.587056286	1.840411878	1.773545495	1.973940139
PPIB	9.804082467	9.023595358	8.461208671	9.338695659	8.32790384	8.756177511	10.59529581	9.085422266	10.48791337	8.603276338	9.546702947	10.00505633	10.01814369	9.55506119	9.338007006	10.05458292	9.204360424	10.31673284	9.502958237
PPIC	6.032187072	5.412364188	4.086696046	5.723908259	5.79912735	5.374137762	4.77804549	5.08295794	6.754111896	5.604424447	5.323383718	7.042310054	5.513685709	5.80172542	4.964704932	6.567903091	6.511609717	4.247228975	3.775647448
PPID	4.847294031	5.618109895	5.850779953	6.251109554	4.276836612	5.482412871	4.972155945	5.978523752	6.922213794	7.320892612	6.969335368	6.044747857	5.466847309	8.256881138	9.12995898	5.896213807	4.739464524	5.786575	6.105823038
PPIE	6.318429137	5.644120877	5.24055786	5.699339778	5.423034493	5.630781606	6.852888421	5.68182842	4.682708267	5.629841814	5.408671047	6.264825145	5.860537285	6.24498404	6.147251026	5.406393604	5.235593884	6.415492228	6.096064926
PPIF	6.252075956	6.862092219	5.56509298	6.385280771	5.438333764	6.024852142	8.190259899	7.904624231	6.479025041	6.848461959	7.688883805	6.986428781	6.786127666	5.809810487	6.10836687	6.372830866	4.656118054	7.301051682	7.330510621
